[2017-08-09 14:25:15] WeeChat 1.9 (compilado en Jun 26 2017 10:25:39)
[2017-08-09 14:25:15] Leyendo el archivo de configuración sec.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración weechat.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración plugins.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración charset.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración logger.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración exec.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración trigger.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración aspell.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración alias.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración buflist.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración fifo.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración xfer.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración irc.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración relay.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración buffers.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración iset.conf
[2017-08-09 14:25:15] Leyendo el archivo de configuración script.conf
[2017-08-09 14:25:15] irc: conectando al servidor chat.freenode.net/6697 (SSL)...
[2017-08-09 14:25:15] irc: conectando al servidor localhost/6667...
[2017-08-09 14:26:59] Guardando archivo de configuración logger.conf
[2017-08-09 14:26:59] Guardando archivo de configuración exec.conf
[2017-08-09 14:26:59] Guardando archivo de configuración trigger.conf
[2017-08-09 14:26:59] Guardando archivo de configuración aspell.conf
[2017-08-09 14:26:59] Guardando archivo de configuración alias.conf
[2017-08-09 14:26:59] Guardando archivo de configuración buflist.conf
[2017-08-09 14:26:59] Guardando archivo de configuración fifo.conf
[2017-08-09 14:26:59] Guardando archivo de configuración xfer.conf
[2017-08-09 14:26:59] Guardando archivo de configuración irc.conf
[2017-08-09 14:26:59] Guardando archivo de configuración relay.conf
[2017-08-09 14:26:59] Guardando archivo de configuración buffers.conf
[2017-08-09 14:26:59] Guardando archivo de configuración iset.conf
[2017-08-09 14:26:59] Guardando archivo de configuración script.conf
[2017-08-09 14:27:08] Recargando archivo de configuración sec.conf
[2017-08-09 14:27:08] Recargando archivo de configuración weechat.conf
[2017-08-09 14:27:08] Recargando archivo de configuración plugins.conf
[2017-08-09 14:27:08] Recargando archivo de configuración charset.conf
[2017-08-09 14:27:08] Recargando archivo de configuración logger.conf
[2017-08-09 14:27:08] Recargando archivo de configuración exec.conf
[2017-08-09 14:27:08] Recargando archivo de configuración trigger.conf
[2017-08-09 14:27:08] Recargando archivo de configuración aspell.conf
[2017-08-09 14:27:08] Recargando archivo de configuración alias.conf
[2017-08-09 14:27:08] Recargando archivo de configuración buflist.conf
[2017-08-09 14:27:08] Recargando archivo de configuración fifo.conf
[2017-08-09 14:27:08] Recargando archivo de configuración xfer.conf
[2017-08-09 14:27:08] Recargando archivo de configuración irc.conf
[2017-08-09 14:27:08] Recargando archivo de configuración relay.conf
[2017-08-09 14:27:08] Recargando archivo de configuración buffers.conf
[2017-08-09 14:27:08] Recargando archivo de configuración iset.conf
[2017-08-09 14:27:08] Recargando archivo de configuración script.conf
[2017-08-09 14:28:34] Guardando archivo de configuración sec.conf
[2017-08-09 14:28:34] Guardando archivo de configuración weechat.conf
[2017-08-09 14:28:34] Guardando archivo de configuración plugins.conf
[2017-08-09 14:28:34] Guardando archivo de configuración charset.conf
[2017-08-09 14:28:34] Guardando archivo de configuración logger.conf
[2017-08-09 14:28:34] Guardando archivo de configuración exec.conf
[2017-08-09 14:28:34] Guardando archivo de configuración trigger.conf
[2017-08-09 14:28:34] Guardando archivo de configuración aspell.conf
[2017-08-09 14:28:34] Guardando archivo de configuración alias.conf
[2017-08-09 14:28:34] Guardando archivo de configuración buflist.conf
[2017-08-09 14:28:34] Guardando archivo de configuración fifo.conf
[2017-08-09 14:28:34] Guardando archivo de configuración xfer.conf
[2017-08-09 14:28:34] Guardando archivo de configuración irc.conf
[2017-08-09 14:28:34] Guardando archivo de configuración relay.conf
[2017-08-09 14:28:34] Guardando archivo de configuración buffers.conf
[2017-08-09 14:28:34] Guardando archivo de configuración iset.conf
[2017-08-09 14:28:34] Guardando archivo de configuración script.conf
[2017-08-09 14:30:18] Guardando archivo de configuración sec.conf
[2017-08-09 14:30:18] Guardando archivo de configuración weechat.conf
[2017-08-09 14:30:18] Guardando archivo de configuración plugins.conf
[2017-08-09 14:30:18] Guardando archivo de configuración charset.conf
[2017-08-09 14:30:18] Guardando archivo de configuración logger.conf
[2017-08-09 14:30:18] Guardando archivo de configuración exec.conf
[2017-08-09 14:30:18] Guardando archivo de configuración trigger.conf
[2017-08-09 14:30:18] Guardando archivo de configuración aspell.conf
[2017-08-09 14:30:18] Guardando archivo de configuración alias.conf
[2017-08-09 14:30:18] Guardando archivo de configuración buflist.conf
[2017-08-09 14:30:18] Guardando archivo de configuración fifo.conf
[2017-08-09 14:30:18] Guardando archivo de configuración xfer.conf
[2017-08-09 14:30:18] Guardando archivo de configuración irc.conf
[2017-08-09 14:30:18] Guardando archivo de configuración relay.conf
[2017-08-09 14:30:18] Guardando archivo de configuración buffers.conf
[2017-08-09 14:30:18] Guardando archivo de configuración iset.conf
[2017-08-09 14:30:18] Guardando archivo de configuración script.conf
[2017-08-09 14:30:41] Guardando archivo de configuración sec.conf
[2017-08-09 14:30:41] Guardando archivo de configuración weechat.conf
[2017-08-09 14:30:41] Guardando archivo de configuración plugins.conf
[2017-08-09 14:30:41] Guardando archivo de configuración charset.conf
[2017-08-09 14:30:41] Guardando archivo de configuración logger.conf
[2017-08-09 14:30:41] Guardando archivo de configuración exec.conf
[2017-08-09 14:30:41] Guardando archivo de configuración trigger.conf
[2017-08-09 14:30:41] Guardando archivo de configuración aspell.conf
[2017-08-09 14:30:41] Guardando archivo de configuración alias.conf
[2017-08-09 14:30:41] Guardando archivo de configuración buflist.conf
[2017-08-09 14:30:41] Guardando archivo de configuración fifo.conf
[2017-08-09 14:30:41] Guardando archivo de configuración xfer.conf
[2017-08-09 14:30:41] Guardando archivo de configuración irc.conf
[2017-08-09 14:30:41] Guardando archivo de configuración relay.conf
[2017-08-09 14:30:41] Guardando archivo de configuración buffers.conf
[2017-08-09 14:30:41] Guardando archivo de configuración iset.conf
[2017-08-09 14:30:41] Guardando archivo de configuración script.conf
[2017-08-09 14:41:15] Guardando archivo de configuración sec.conf
[2017-08-09 14:41:15] Guardando archivo de configuración weechat.conf
[2017-08-09 14:41:15] Guardando archivo de configuración plugins.conf
[2017-08-09 14:41:15] Guardando archivo de configuración charset.conf
[2017-08-09 14:41:15] Guardando archivo de configuración logger.conf
[2017-08-09 14:41:15] Guardando archivo de configuración exec.conf
[2017-08-09 14:41:15] Guardando archivo de configuración trigger.conf
[2017-08-09 14:41:15] Guardando archivo de configuración aspell.conf
[2017-08-09 14:41:15] Guardando archivo de configuración alias.conf
[2017-08-09 14:41:15] Guardando archivo de configuración buflist.conf
[2017-08-09 14:41:15] Guardando archivo de configuración fifo.conf
[2017-08-09 14:41:15] Guardando archivo de configuración xfer.conf
[2017-08-09 14:41:15] Guardando archivo de configuración irc.conf
[2017-08-09 14:41:15] Guardando archivo de configuración relay.conf
[2017-08-09 14:41:15] Guardando archivo de configuración buffers.conf
[2017-08-09 14:41:15] Guardando archivo de configuración iset.conf
[2017-08-09 14:41:15] Guardando archivo de configuración script.conf
[2017-08-09 14:42:09] Recargando archivo de configuración sec.conf
[2017-08-09 14:42:09] Recargando archivo de configuración weechat.conf
[2017-08-09 14:42:09] Recargando archivo de configuración plugins.conf
[2017-08-09 14:42:09] Recargando archivo de configuración charset.conf
[2017-08-09 14:42:09] Recargando archivo de configuración logger.conf
[2017-08-09 14:42:09] Recargando archivo de configuración exec.conf
[2017-08-09 14:42:09] Recargando archivo de configuración trigger.conf
[2017-08-09 14:42:09] Recargando archivo de configuración aspell.conf
[2017-08-09 14:42:09] Recargando archivo de configuración alias.conf
[2017-08-09 14:42:09] Recargando archivo de configuración buflist.conf
[2017-08-09 14:42:09] Recargando archivo de configuración fifo.conf
[2017-08-09 14:42:09] Recargando archivo de configuración xfer.conf
[2017-08-09 14:42:09] Recargando archivo de configuración irc.conf
[2017-08-09 14:42:09] Recargando archivo de configuración relay.conf
[2017-08-09 14:42:09] Recargando archivo de configuración buffers.conf
[2017-08-09 14:42:09] Recargando archivo de configuración iset.conf
[2017-08-09 14:42:09] Recargando archivo de configuración script.conf
[2017-08-09 14:42:58] Recargando archivo de configuración sec.conf
[2017-08-09 14:42:58] Recargando archivo de configuración weechat.conf
[2017-08-09 14:42:58] Recargando archivo de configuración plugins.conf
[2017-08-09 14:42:58] Recargando archivo de configuración charset.conf
[2017-08-09 14:42:58] Recargando archivo de configuración logger.conf
[2017-08-09 14:42:58] Recargando archivo de configuración exec.conf
[2017-08-09 14:42:58] Recargando archivo de configuración trigger.conf
[2017-08-09 14:42:58] Recargando archivo de configuración aspell.conf
[2017-08-09 14:42:58] Recargando archivo de configuración alias.conf
[2017-08-09 14:42:58] Recargando archivo de configuración buflist.conf
[2017-08-09 14:42:58] Recargando archivo de configuración fifo.conf
[2017-08-09 14:42:58] Recargando archivo de configuración xfer.conf
[2017-08-09 14:42:58] Recargando archivo de configuración irc.conf
[2017-08-09 14:42:58] Recargando archivo de configuración relay.conf
[2017-08-09 14:42:58] Recargando archivo de configuración buffers.conf
[2017-08-09 14:42:58] Recargando archivo de configuración iset.conf
[2017-08-09 14:42:58] Recargando archivo de configuración script.conf
[2017-08-09 14:43:09] Guardando archivo de configuración sec.conf
[2017-08-09 14:43:09] Guardando archivo de configuración weechat.conf
[2017-08-09 14:43:09] Guardando archivo de configuración plugins.conf
[2017-08-09 14:43:09] Guardando archivo de configuración charset.conf
[2017-08-09 14:43:09] Guardando archivo de configuración logger.conf
[2017-08-09 14:43:09] Guardando archivo de configuración exec.conf
[2017-08-09 14:43:09] Guardando archivo de configuración trigger.conf
[2017-08-09 14:43:09] Guardando archivo de configuración aspell.conf
[2017-08-09 14:43:09] Guardando archivo de configuración alias.conf
[2017-08-09 14:43:09] Guardando archivo de configuración buflist.conf
[2017-08-09 14:43:09] Guardando archivo de configuración fifo.conf
[2017-08-09 14:43:09] Guardando archivo de configuración xfer.conf
[2017-08-09 14:43:09] Guardando archivo de configuración irc.conf
[2017-08-09 14:43:09] Guardando archivo de configuración relay.conf
[2017-08-09 14:43:09] Guardando archivo de configuración buffers.conf
[2017-08-09 14:43:09] Guardando archivo de configuración iset.conf
[2017-08-09 14:43:09] Guardando archivo de configuración script.conf
[2017-08-09 14:43:37] Recargando archivo de configuración sec.conf
[2017-08-09 14:43:37] Recargando archivo de configuración weechat.conf
[2017-08-09 14:43:37] Recargando archivo de configuración plugins.conf
[2017-08-09 14:43:37] Recargando archivo de configuración charset.conf
[2017-08-09 14:43:37] Recargando archivo de configuración logger.conf
[2017-08-09 14:43:37] Recargando archivo de configuración exec.conf
[2017-08-09 14:43:37] Recargando archivo de configuración trigger.conf
[2017-08-09 14:43:37] Recargando archivo de configuración aspell.conf
[2017-08-09 14:43:37] Recargando archivo de configuración alias.conf
[2017-08-09 14:43:37] Recargando archivo de configuración buflist.conf
[2017-08-09 14:43:37] Recargando archivo de configuración fifo.conf
[2017-08-09 14:43:37] Recargando archivo de configuración xfer.conf
[2017-08-09 14:43:37] Recargando archivo de configuración irc.conf
[2017-08-09 14:43:37] Recargando archivo de configuración relay.conf
[2017-08-09 14:43:37] Recargando archivo de configuración buffers.conf
[2017-08-09 14:43:37] Recargando archivo de configuración iset.conf
[2017-08-09 14:43:37] Recargando archivo de configuración script.conf
[2017-08-09 14:45:19] Guardando archivo de configuración sec.conf
[2017-08-09 14:45:19] Guardando archivo de configuración weechat.conf
[2017-08-09 14:45:19] Guardando archivo de configuración plugins.conf
[2017-08-09 14:45:19] Guardando archivo de configuración charset.conf
[2017-08-09 14:45:19] Guardando archivo de configuración logger.conf
[2017-08-09 14:45:19] Guardando archivo de configuración exec.conf
[2017-08-09 14:45:19] Guardando archivo de configuración trigger.conf
[2017-08-09 14:45:19] Guardando archivo de configuración aspell.conf
[2017-08-09 14:45:19] Guardando archivo de configuración alias.conf
[2017-08-09 14:45:19] Guardando archivo de configuración buflist.conf
[2017-08-09 14:45:19] Guardando archivo de configuración fifo.conf
[2017-08-09 14:45:19] Guardando archivo de configuración xfer.conf
[2017-08-09 14:45:19] Guardando archivo de configuración irc.conf
[2017-08-09 14:45:19] Guardando archivo de configuración relay.conf
[2017-08-09 14:45:19] Guardando archivo de configuración buffers.conf
[2017-08-09 14:45:19] Guardando archivo de configuración iset.conf
[2017-08-09 14:45:19] Guardando archivo de configuración script.conf
[2017-08-09 14:45:26] Recargando archivo de configuración sec.conf
[2017-08-09 14:45:26] Recargando archivo de configuración weechat.conf
[2017-08-09 14:45:26] Recargando archivo de configuración plugins.conf
[2017-08-09 14:45:26] Recargando archivo de configuración charset.conf
[2017-08-09 14:45:26] Recargando archivo de configuración logger.conf
[2017-08-09 14:45:26] Recargando archivo de configuración exec.conf
[2017-08-09 14:45:26] Recargando archivo de configuración trigger.conf
[2017-08-09 14:45:26] Recargando archivo de configuración aspell.conf
[2017-08-09 14:45:26] Recargando archivo de configuración alias.conf
[2017-08-09 14:45:26] Recargando archivo de configuración buflist.conf
[2017-08-09 14:45:26] Recargando archivo de configuración fifo.conf
[2017-08-09 14:45:26] Recargando archivo de configuración xfer.conf
[2017-08-09 14:45:26] Recargando archivo de configuración irc.conf
[2017-08-09 14:45:26] Recargando archivo de configuración relay.conf
[2017-08-09 14:45:26] Recargando archivo de configuración buffers.conf
[2017-08-09 14:45:26] Recargando archivo de configuración iset.conf
[2017-08-09 14:45:26] Recargando archivo de configuración script.conf
[2017-08-09 14:45:36] Recargando archivo de configuración sec.conf
[2017-08-09 14:45:36] Recargando archivo de configuración weechat.conf
[2017-08-09 14:45:36] Recargando archivo de configuración plugins.conf
[2017-08-09 14:45:36] Recargando archivo de configuración charset.conf
[2017-08-09 14:45:36] Recargando archivo de configuración logger.conf
[2017-08-09 14:45:36] Recargando archivo de configuración exec.conf
[2017-08-09 14:45:36] Recargando archivo de configuración trigger.conf
[2017-08-09 14:45:36] Recargando archivo de configuración aspell.conf
[2017-08-09 14:45:36] Recargando archivo de configuración alias.conf
[2017-08-09 14:45:36] Recargando archivo de configuración buflist.conf
[2017-08-09 14:45:36] Recargando archivo de configuración fifo.conf
[2017-08-09 14:45:36] Recargando archivo de configuración xfer.conf
[2017-08-09 14:45:36] Recargando archivo de configuración irc.conf
[2017-08-09 14:45:36] Recargando archivo de configuración relay.conf
[2017-08-09 14:45:36] Recargando archivo de configuración buffers.conf
[2017-08-09 14:45:36] Recargando archivo de configuración iset.conf
[2017-08-09 14:45:36] Recargando archivo de configuración script.conf
[2017-08-09 14:47:55] Guardando archivo de configuración sec.conf
[2017-08-09 14:47:55] Guardando archivo de configuración weechat.conf
[2017-08-09 14:47:55] Guardando archivo de configuración plugins.conf
[2017-08-09 14:47:55] Guardando archivo de configuración charset.conf
[2017-08-09 14:47:55] Guardando archivo de configuración logger.conf
[2017-08-09 14:47:55] Guardando archivo de configuración exec.conf
[2017-08-09 14:47:55] Guardando archivo de configuración trigger.conf
[2017-08-09 14:47:55] Guardando archivo de configuración aspell.conf
[2017-08-09 14:47:55] Guardando archivo de configuración alias.conf
[2017-08-09 14:47:55] Guardando archivo de configuración buflist.conf
[2017-08-09 14:47:55] Guardando archivo de configuración fifo.conf
[2017-08-09 14:47:55] Guardando archivo de configuración xfer.conf
[2017-08-09 14:47:55] Guardando archivo de configuración irc.conf
[2017-08-09 14:47:55] Guardando archivo de configuración relay.conf
[2017-08-09 14:47:55] Guardando archivo de configuración buffers.conf
[2017-08-09 14:47:55] Guardando archivo de configuración iset.conf
[2017-08-09 14:47:55] Guardando archivo de configuración script.conf
[2017-08-09 14:48:13] Recargando archivo de configuración sec.conf
[2017-08-09 14:48:13] Recargando archivo de configuración weechat.conf
[2017-08-09 14:48:13] Recargando archivo de configuración plugins.conf
[2017-08-09 14:48:13] Recargando archivo de configuración charset.conf
[2017-08-09 14:48:13] Recargando archivo de configuración logger.conf
[2017-08-09 14:48:13] Recargando archivo de configuración exec.conf
[2017-08-09 14:48:13] Recargando archivo de configuración trigger.conf
[2017-08-09 14:48:13] Recargando archivo de configuración aspell.conf
[2017-08-09 14:48:13] Recargando archivo de configuración alias.conf
[2017-08-09 14:48:13] Recargando archivo de configuración buflist.conf
[2017-08-09 14:48:13] Recargando archivo de configuración fifo.conf
[2017-08-09 14:48:13] Recargando archivo de configuración xfer.conf
[2017-08-09 14:48:13] Recargando archivo de configuración irc.conf
[2017-08-09 14:48:13] Recargando archivo de configuración relay.conf
[2017-08-09 14:48:13] Recargando archivo de configuración buffers.conf
[2017-08-09 14:48:13] Recargando archivo de configuración iset.conf
[2017-08-09 14:48:13] Recargando archivo de configuración script.conf
[2017-08-09 14:48:38] Recargando archivo de configuración sec.conf
[2017-08-09 14:48:38] Recargando archivo de configuración weechat.conf
[2017-08-09 14:48:38] Recargando archivo de configuración plugins.conf
[2017-08-09 14:48:38] Recargando archivo de configuración charset.conf
[2017-08-09 14:48:38] Recargando archivo de configuración logger.conf
[2017-08-09 14:48:38] Recargando archivo de configuración exec.conf
[2017-08-09 14:48:38] Recargando archivo de configuración trigger.conf
[2017-08-09 14:48:38] Recargando archivo de configuración aspell.conf
[2017-08-09 14:48:38] Recargando archivo de configuración alias.conf
[2017-08-09 14:48:38] Recargando archivo de configuración buflist.conf
[2017-08-09 14:48:38] Recargando archivo de configuración fifo.conf
[2017-08-09 14:48:38] Recargando archivo de configuración xfer.conf
[2017-08-09 14:48:38] Recargando archivo de configuración irc.conf
[2017-08-09 14:48:38] Recargando archivo de configuración relay.conf
[2017-08-09 14:48:38] Recargando archivo de configuración buffers.conf
[2017-08-09 14:48:38] Recargando archivo de configuración iset.conf
[2017-08-09 14:48:38] Recargando archivo de configuración script.conf
[2017-08-09 14:54:20] Recargando archivo de configuración sec.conf
[2017-08-09 14:54:20] Recargando archivo de configuración weechat.conf
[2017-08-09 14:54:21] Recargando archivo de configuración plugins.conf
[2017-08-09 14:54:21] Recargando archivo de configuración charset.conf
[2017-08-09 14:54:21] Recargando archivo de configuración logger.conf
[2017-08-09 14:54:21] Recargando archivo de configuración exec.conf
[2017-08-09 14:54:21] Recargando archivo de configuración trigger.conf
[2017-08-09 14:54:21] Recargando archivo de configuración aspell.conf
[2017-08-09 14:54:21] Recargando archivo de configuración alias.conf
[2017-08-09 14:54:21] Recargando archivo de configuración buflist.conf
[2017-08-09 14:54:21] Recargando archivo de configuración fifo.conf
[2017-08-09 14:54:21] Recargando archivo de configuración xfer.conf
[2017-08-09 14:54:21] Recargando archivo de configuración irc.conf
[2017-08-09 14:54:21] Recargando archivo de configuración relay.conf
[2017-08-09 14:54:21] Recargando archivo de configuración buffers.conf
[2017-08-09 14:54:21] Recargando archivo de configuración iset.conf
[2017-08-09 14:54:21] Recargando archivo de configuración script.conf
[2017-08-09 14:54:41] Recargando archivo de configuración sec.conf
[2017-08-09 14:54:41] Recargando archivo de configuración weechat.conf
[2017-08-09 14:54:41] Recargando archivo de configuración plugins.conf
[2017-08-09 14:54:41] Recargando archivo de configuración charset.conf
[2017-08-09 14:54:41] Recargando archivo de configuración logger.conf
[2017-08-09 14:54:41] Recargando archivo de configuración exec.conf
[2017-08-09 14:54:41] Recargando archivo de configuración trigger.conf
[2017-08-09 14:54:41] Recargando archivo de configuración aspell.conf
[2017-08-09 14:54:41] Recargando archivo de configuración alias.conf
[2017-08-09 14:54:41] Recargando archivo de configuración buflist.conf
[2017-08-09 14:54:41] Recargando archivo de configuración fifo.conf
[2017-08-09 14:54:41] Recargando archivo de configuración xfer.conf
[2017-08-09 14:54:41] Recargando archivo de configuración irc.conf
[2017-08-09 14:54:41] Recargando archivo de configuración relay.conf
[2017-08-09 14:54:41] Recargando archivo de configuración buffers.conf
[2017-08-09 14:54:41] Recargando archivo de configuración iset.conf
[2017-08-09 14:54:41] Recargando archivo de configuración script.conf
[2017-08-09 14:54:43] Recargando archivo de configuración sec.conf
[2017-08-09 14:54:43] Recargando archivo de configuración weechat.conf
[2017-08-09 14:54:43] Recargando archivo de configuración plugins.conf
[2017-08-09 14:54:43] Recargando archivo de configuración charset.conf
[2017-08-09 14:54:43] Recargando archivo de configuración logger.conf
[2017-08-09 14:54:43] Recargando archivo de configuración exec.conf
[2017-08-09 14:54:43] Recargando archivo de configuración trigger.conf
[2017-08-09 14:54:43] Recargando archivo de configuración aspell.conf
[2017-08-09 14:54:43] Recargando archivo de configuración alias.conf
[2017-08-09 14:54:43] Recargando archivo de configuración buflist.conf
[2017-08-09 14:54:43] Recargando archivo de configuración fifo.conf
[2017-08-09 14:54:43] Recargando archivo de configuración xfer.conf
[2017-08-09 14:54:43] Recargando archivo de configuración irc.conf
[2017-08-09 14:54:43] Recargando archivo de configuración relay.conf
[2017-08-09 14:54:43] Recargando archivo de configuración buffers.conf
[2017-08-09 14:54:43] Recargando archivo de configuración iset.conf
[2017-08-09 14:54:43] Recargando archivo de configuración script.conf
[2017-08-09 14:55:19] Recargando archivo de configuración sec.conf
[2017-08-09 14:55:19] Recargando archivo de configuración weechat.conf
[2017-08-09 14:55:19] Recargando archivo de configuración plugins.conf
[2017-08-09 14:55:19] Recargando archivo de configuración charset.conf
[2017-08-09 14:55:19] Recargando archivo de configuración logger.conf
[2017-08-09 14:55:19] Recargando archivo de configuración exec.conf
[2017-08-09 14:55:19] Recargando archivo de configuración trigger.conf
[2017-08-09 14:55:19] Recargando archivo de configuración aspell.conf
[2017-08-09 14:55:19] Recargando archivo de configuración alias.conf
[2017-08-09 14:55:19] Recargando archivo de configuración buflist.conf
[2017-08-09 14:55:19] Recargando archivo de configuración fifo.conf
[2017-08-09 14:55:19] Recargando archivo de configuración xfer.conf
[2017-08-09 14:55:19] Recargando archivo de configuración irc.conf
[2017-08-09 14:55:19] Recargando archivo de configuración relay.conf
[2017-08-09 14:55:19] Recargando archivo de configuración buffers.conf
[2017-08-09 14:55:19] Recargando archivo de configuración iset.conf
[2017-08-09 14:55:19] Recargando archivo de configuración script.conf
[2017-08-09 14:55:41] Recargando archivo de configuración sec.conf
[2017-08-09 14:55:41] Recargando archivo de configuración weechat.conf
[2017-08-09 14:55:41] Recargando archivo de configuración plugins.conf
[2017-08-09 14:55:41] Recargando archivo de configuración charset.conf
[2017-08-09 14:55:41] Recargando archivo de configuración logger.conf
[2017-08-09 14:55:41] Recargando archivo de configuración exec.conf
[2017-08-09 14:55:41] Recargando archivo de configuración trigger.conf
[2017-08-09 14:55:41] Recargando archivo de configuración aspell.conf
[2017-08-09 14:55:41] Recargando archivo de configuración alias.conf
[2017-08-09 14:55:41] Recargando archivo de configuración buflist.conf
[2017-08-09 14:55:41] Recargando archivo de configuración fifo.conf
[2017-08-09 14:55:41] Recargando archivo de configuración xfer.conf
[2017-08-09 14:55:41] Recargando archivo de configuración irc.conf
[2017-08-09 14:55:41] Recargando archivo de configuración relay.conf
[2017-08-09 14:55:41] Recargando archivo de configuración buffers.conf
[2017-08-09 14:55:41] Recargando archivo de configuración iset.conf
[2017-08-09 14:55:41] Recargando archivo de configuración script.conf
[2017-08-09 14:55:53] Recargando archivo de configuración sec.conf
[2017-08-09 14:55:53] Recargando archivo de configuración weechat.conf
[2017-08-09 14:55:53] Recargando archivo de configuración plugins.conf
[2017-08-09 14:55:53] Recargando archivo de configuración charset.conf
[2017-08-09 14:55:53] Recargando archivo de configuración logger.conf
[2017-08-09 14:55:53] Recargando archivo de configuración exec.conf
[2017-08-09 14:55:53] Recargando archivo de configuración trigger.conf
[2017-08-09 14:55:53] Recargando archivo de configuración aspell.conf
[2017-08-09 14:55:53] Recargando archivo de configuración alias.conf
[2017-08-09 14:55:53] Recargando archivo de configuración buflist.conf
[2017-08-09 14:55:53] Recargando archivo de configuración fifo.conf
[2017-08-09 14:55:53] Recargando archivo de configuración xfer.conf
[2017-08-09 14:55:53] Recargando archivo de configuración irc.conf
[2017-08-09 14:55:53] Recargando archivo de configuración relay.conf
[2017-08-09 14:55:53] Recargando archivo de configuración buffers.conf
[2017-08-09 14:55:53] Recargando archivo de configuración iset.conf
[2017-08-09 14:55:53] Recargando archivo de configuración script.conf
[2017-08-09 14:56:13] Recargando archivo de configuración sec.conf
[2017-08-09 14:56:13] Recargando archivo de configuración weechat.conf
[2017-08-09 14:56:13] Recargando archivo de configuración plugins.conf
[2017-08-09 14:56:13] Recargando archivo de configuración charset.conf
[2017-08-09 14:56:13] Recargando archivo de configuración logger.conf
[2017-08-09 14:56:13] Recargando archivo de configuración exec.conf
[2017-08-09 14:56:13] Recargando archivo de configuración trigger.conf
[2017-08-09 14:56:13] Recargando archivo de configuración aspell.conf
[2017-08-09 14:56:13] Recargando archivo de configuración alias.conf
[2017-08-09 14:56:13] Recargando archivo de configuración buflist.conf
